4224 1.290000 1100	1433 1.270000 1100	1582 1.246000 1100
4064 1.299000 1110	1766 1.275000 1110	1598 1.266000 1110
3713 1.321000 1120	1630 1.269000 1120	1357 1.295000 1120
4032 1.289000 1130	1780 1.262000 1130	1739 1.282000 1130
4011 1.315000 1140	1535 1.305000 1140	1188 1.281000 1140
4297 1.316000 1150	1669 1.252000 1150	1583 1.285000 1150
4445 1.311000 1160	1587 1.231000 1160	1607 1.264000 1160
4512 1.315000 1170	1712 1.303000 1170	1754 1.298000 1170
4347 1.292000 1180	1708 1.473000 1180	1712 1.271000 1180
4530 1.309000 1190	2033 1.304000 1190	1435 1.279000 1190
4852 1.299000 1200	1573 1.262000 1200	1849 1.278000 1200
5027 1.314000 1210	1715 1.326000 1210	1152 1.239000 1210
4887 1.313000 1220	1915 1.285000 1220	2023 1.273000 1220
4834 1.322000 1230	1748 1.258000 1230	1766 1.260000 1230
4872 1.309000 1240	2036 1.301000 1240	1516 1.355000 1240
5006 1.324000 1250	2111 1.289000 1250	1816 1.267000 1250
4845 1.305000 1260	1723 1.278000 1260	1820 1.298000 1260
4758 1.316000 1270	1602 1.311000 1270	1796 1.321000 1270
4872 1.290000 1280	2075 1.323000 1280	1567 1.513000 1280
5049 1.301000 1290	1579 1.322000 1290	1671 1.270000 1290
4726 1.308000 1300	1893 1.327000 1300	1974 1.326000 1300
4743 1.292000 1310	1993 1.287000 1310	1833 1.317000 1310
4709 1.259000 1320	1849 1.276000 1320	1862 1.421000 1320
4487 1.284000 1330	1895 1.304000 1330	1575 1.348000 1330
4238 1.311000 1340	1704 1.291000 1340	1621 1.400000 1340
4153 1.303000 1350	2048 1.317000 1350	1877 1.267000 1350
3656 1.284000 1360	1983 1.298000 1360	1937 1.418000 1360
4386 1.256000 1370	1423 1.279000 1370	1844 1.421000 1370
4146 1.249000 1380	1839 1.270000 1380	1807 1.311000 1380
4438 1.310000 1390	716 1.246000 1390	2126 1.303000 1390
4096 1.301000 1400	538 1.217000 1400	1734 1.277000 1400
4521 1.274000 1410	440 1.204000 1410	1524 1.337000 1410
4693 1.249000 1420	468 1.192000 1420	1889 1.308000 1420
4795 1.306000 1430	354 1.229000 1430	1908 1.287000 1430
4574 1.318000 1440	312 1.188000 1440	1633 1.537000 1440
5042 1.303000 1450	355 1.218000 1450	1603 1.281000 1450
4631 1.308000 1460	285 1.268000 1460	829 1.289000 1460
4791 1.305000 1470	341 1.198000 1470	565 1.232000 1470
5090 1.305000 1480	314 1.330000 1480	531 1.197000 1480
