4599 1.193000 590	4148 1.286000 590	4977 1.370000 590
4784 1.227000 600	4057 1.272000 600	4244 1.288000 600
4577 1.202000 610	4070 1.294000 610	4472 1.277000 610
4226 1.176000 620	4361 1.268000 620	4178 1.266000 620
4191 1.206000 630	4295 1.264000 630	4042 1.254000 630
4202 1.211000 640	4159 1.273000 640	4266 1.273000 640
4480 1.233000 650	4432 1.275000 650	3773 1.312000 650
4762 1.237000 660	4274 1.270000 660	3996 1.267000 660
4819 1.189000 670	4600 1.264000 670	4356 1.308000 670
5259 1.192000 680	4730 1.283000 680	4397 1.232000 680
5079 1.193000 690	4990 1.274000 690	4571 1.318000 690
5391 1.248000 700	4810 1.292000 700	4982 1.273000 700
5488 1.226000 710	5334 1.294000 710	4672 1.241000 710
5679 1.216000 720	5064 1.289000 720	5016 1.261000 720
5465 1.226000 730	5171 1.274000 730	4860 1.267000 730
5412 1.200000 740	5410 1.274000 740	5065 1.237000 740
5116 1.236000 750	5338 1.281000 750	5160 1.252000 750
5428 1.219000 760	5240 1.271000 760	5431 1.264000 760
4915 1.226000 770	5603 1.261000 770	5383 1.256000 770
4893 1.188000 780	5463 1.284000 780	5055 1.319000 780
5211 1.215000 790	4947 1.281000 790	5362 1.324000 790
4925 1.203000 800	4517 1.283000 800	4823 1.301000 800
4664 1.184000 810	4329 1.281000 810	5019 1.298000 810
4858 1.175000 820	4366 1.261000 820	4915 1.334000 820
4900 1.178000 830	4248 1.268000 830	4853 1.318000 830
4172 1.184000 840	4237 1.255000 840	4368 1.323000 840
4396 1.183000 850	4302 1.263000 850	4298 1.296000 850
4217 1.239000 860	4368 1.277000 860	4055 1.308000 860
4470 1.189000 870	4488 1.281000 870	4030 1.362000 870
4893 1.182000 880	4278 1.276000 880	3788 1.306000 880
4851 1.207000 890	4782 1.239000 890	4216 1.334000 890
5070 1.200000 900	4291 1.273000 900	3918 1.304000 900
5300 1.190000 910	4761 1.278000 910	4359 1.295000 910
5519 1.193000 920	4842 1.273000 920	4318 1.285000 920
5410 1.209000 930	4947 1.270000 930	4450 1.270000 930
5454 1.203000 940	5065 1.271000 940	4929 1.270000 940
5397 1.215000 950	5198 1.282000 950	4711 1.285000 950
5514 1.217000 960	4992 1.269000 960	4703 1.307000 960
5237 1.232000 970	5379 1.275000 970	5093 1.296000 970
5391 1.204000 980	5203 1.275000 980	4954 1.306000 980
5096 1.213000 990	5594 1.270000 990	5041 1.292000 990
5214 1.200000 1000	5426 1.282000 1000	4851 1.332000 1000
5008 1.185000 1010	5448 1.279000 1010	5558 1.309000 1010
5009 1.166000 1020	5104 1.268000 1020	5327 1.279000 1020
4582 1.216000 1030	4802 1.274000 1030	5159 1.311000 1030
4669 1.230000 1040	4496 1.291000 1040	5127 1.297000 1040
4529 1.206000 1050	4326 1.280000 1050	4938 1.273000 1050
4518 1.213000 1060	4566 1.288000 1060	5056 1.219000 1060
4097 1.180000 1070	3956 1.287000 1070	5298 1.235000 1070
4201 1.206000 1080	4406 1.265000 1080	4700 1.253000 1080
4481 1.190000 1090	4084 1.279000 1090	4307 1.288000 1090
4421 1.186000 1100	4570 1.268000 1100	4143 1.322000 1100
4722 1.182000 1110	4149 1.259000 1110	4494 1.273000 1110
4906 1.196000 1120	4334 1.263000 1120	3936 1.312000 1120
5250 1.204000 1130	4476 1.282000 1130	4384 1.240000 1130
5190 1.186000 1140	4469 1.287000 1140	4411 1.269000 1140
5398 1.192000 1150	4584 1.273000 1150	4270 1.277000 1150
5544 1.210000 1160	4857 1.288000 1160	5003 1.262000 1160
5087 1.214000 1170	4911 1.256000 1170	4778 1.315000 1170
5385 1.224000 1180	5198 1.276000 1180	4570 1.316000 1180
5378 1.220000 1190	5048 1.292000 1190	4554 1.341000 1190
5294 1.209000 1200	4992 1.291000 1200	4707 1.335000 1200
5476 1.199000 1210	5333 1.266000 1210	4809 1.341000 1210
5073 1.184000 1220	4939 1.271000 1220	4886 1.328000 1220
5051 1.200000 1230	5235 1.263000 1230	4870 1.276000 1230
4800 1.175000 1240	5203 1.278000 1240	5226 1.304000 1240
4877 1.182000 1250	5219 1.270000 1250	5272 1.281000 1250
4864 1.181000 1260	4813 1.270000 1260	5143 1.282000 1260
4906 1.170000 1270	4976 1.258000 1270	4884 1.318000 1270
4804 1.180000 1280	4501 1.272000 1280	5093 1.277000 1280
4102 1.213000 1290	4404 1.279000 1290	4785 1.320000 1290
4016 1.215000 1300	4362 1.279000 1300	4789 1.309000 1300
4180 1.206000 1310	4259 1.251000 1310	4677 1.324000 1310
4629 1.211000 1320	4450 1.274000 1320	4761 1.279000 1320
4442 1.214000 1330	4195 1.284000 1330	4262 1.256000 1330
