1316 1.320000 10	2205 1.352000 10	2147 1.345000 10	5546 1.303000 10	4785 1.303000 10	3708 1.316000 10
1554 1.300000 20	2439 1.364000 20	2249 1.354000 20	5233 1.273000 20	4857 1.287000 20	4154 1.254000 20
1720 1.336000 30	2311 1.334000 30	2239 1.367000 30	5043 1.282000 30	4545 1.251000 30	3711 1.260000 30
1836 1.361000 40	2256 1.364000 40	2448 1.362000 40	4279 1.258000 40	5254 1.263000 40	3844 1.281000 40
1795 1.373000 50	2418 1.361000 50	2317 1.353000 50	3058 1.213000 50	5348 1.332000 50	4739 1.273000 50
1760 1.373000 60	2418 1.353000 60	2337 1.351000 60	3172 1.231000 60	5735 1.263000 60	4745 1.232000 60
1810 1.352000 70	2348 1.376000 70	2405 1.355000 70	3788 1.228000 70	5260 1.281000 70	5484 1.285000 70
1955 1.369000 80	2437 1.346000 80	2486 1.343000 80	4038 1.199000 80	5824 1.260000 80	4042 1.278000 80
1814 1.349000 90	2366 1.369000 90	2460 1.383000 90	4270 1.190000 90	6244 1.269000 90	5629 1.289000 90
1790 1.338000 100	2594 1.345000 100	2559 1.387000 100	4289 1.267000 100	6187 1.280000 100	5504 1.274000 100
2020 1.334000 110	2401 1.394000 110	2558 1.367000 110	4680 1.278000 110	5786 1.297000 110	5503 1.319000 110
1956 1.369000 120	2660 1.379000 120	2556 1.357000 120	5001 1.280000 120	3893 1.256000 120	5394 1.308000 120
2112 1.353000 130	2376 1.356000 130	2541 1.355000 130	5429 1.255000 130	3815 1.238000 130	4092 1.299000 130
2150 1.328000 140	2419 1.368000 140	2501 1.356000 140	5701 1.242000 140	3908 1.241000 140	3902 1.289000 140
2180 1.373000 150	2512 1.376000 150	2459 1.372000 150	5682 1.303000 150	4513 1.209000 150	5489 1.293000 150
2206 1.336000 160	2512 1.361000 160	2543 1.377000 160	5709 1.281000 160	4221 1.277000 160	5594 1.298000 160
2160 1.339000 170	2757 1.386000 170	2441 1.362000 170	5628 1.291000 170	4485 1.227000 170	5535 1.275000 170
2174 1.394000 180	2405 1.374000 180	2413 1.336000 180	5949 1.271000 180	4415 1.256000 180	4086 1.317000 180
2203 1.346000 190	2500 1.363000 190	2447 1.370000 190	5866 1.260000 190	3623 1.337000 190	3527 1.340000 190
2371 1.341000 200	1652 1.390000 200	1776 1.355000 200	5716 1.283000 200	4157 1.310000 200	3846 1.268000 200
2242 1.380000 210	334 1.333000 210	353 1.381000 210	5625 1.284000 210	3723 1.327000 210	4024 1.409000 210
2155 1.377000 220	308 1.289000 220	272 1.328000 220	5391 1.273000 220	4612 1.281000 220	4112 1.318000 220
2356 1.368000 230	261 1.323000 230	315 1.285000 230	5094 1.287000 230	4602 1.333000 230	4379 1.290000 230
2312 1.354000 240	196 1.329000 240	247 1.294000 240	5176 1.274000 240	4682 1.339000 240	4076 1.329000 240
2416 1.346000 250	266 1.309000 250	109 1.273000 250	5362 1.279000 250	4517 1.330000 250	4016 1.323000 250
2437 1.361000 260	110 1.296000 260	180 1.312000 260	3596 1.270000 260	4609 1.359000 260	4148 1.337000 260
2504 1.358000 270	184 1.279000 270	161 1.232000 270	3520 1.219000 270	4637 1.343000 270	4321 1.334000 270
2611 1.344000 280	156 1.360000 280	160 1.327000 280	3845 1.243000 280	4838 1.336000 280	4495 1.346000 280
2409 1.363000 290	185 1.263000 290	139 1.313000 290	4338 1.243000 290	4818 1.349000 290	4383 1.295000 290
2494 1.356000 300	189 1.283000 300	170 1.314000 300	4149 1.249000 300	5173 1.294000 300	4825 1.313000 300
2481 1.366000 310	106 1.276000 310	115 1.264000 310	4302 1.229000 310	5260 1.320000 310	4899 1.325000 310
2278 1.373000 320	205 1.304000 320	201 1.250000 320	4420 1.258000 320	5470 1.315000 320	4943 1.327000 320
2480 1.350000 330	207 1.261000 330	211 1.279000 330	4823 1.246000 330	5613 1.294000 330	5177 1.331000 330
2595 1.361000 340	187 1.287000 340	197 1.297000 340	5002 1.238000 340	5774 1.287000 340	5370 1.314000 340
2485 1.350000 350	145 1.297000 350	191 1.242000 350	5647 1.224000 350	5757 1.291000 350	5410 1.329000 350
366 1.403000 360	205 1.335000 360	137 1.198000 360	5252 1.274000 360	4838 1.273000 360	5440 1.330000 360
303 1.307000 370	177 1.283000 370	158 1.293000 370	5456 1.257000 370	4024 1.255000 370	5376 1.344000 370
396 1.303000 380	227 1.338000 380	185 1.311000 380	5307 1.267000 380	4585 1.227000 380	5074 1.348000 380
238 1.315000 390	140 1.236000 390	149 1.270000 390	5366 1.281000 390	4072 1.257000 390	5154 1.327000 390
190 1.282000 400	193 1.337000 400	184 1.317000 400	5501 1.278000 400	4081 1.304000 400	5050 1.340000 400
123 1.300000 410	144 1.293000 410	200 1.289000 410	5583 1.266000 410	3932 1.325000 410	4681 1.322000 410
194 1.277000 420	386 1.315000 420	182 1.260000 420	5515 1.262000 420	3965 1.295000 420	4178 1.334000 420
123 1.324000 430	202 1.325000 430	374 1.322000 430	5628 1.232000 430	4310 1.238000 430	3805 1.323000 430
153 1.278000 440	218 1.284000 440	137 1.294000 440	5329 1.248000 440	4086 1.243000 440	3703 1.323000 440
116 1.255000 450	301 1.321000 450	385 1.279000 450	5050 1.238000 450	4519 1.236000 450	3827 1.342000 450
182 1.303000 460	177 1.297000 460	163 1.297000 460	4641 1.266000 460	4704 1.249000 460	4329 1.306000 460
181 1.241000 470	288 1.299000 470	155 1.279000 470	5388 1.231000 470	4950 1.255000 470	4427 1.312000 470
118 1.346000 480	334 1.275000 480	513 1.293000 480	4171 1.245000 480	4882 1.239000 480	4124 1.305000 480
196 1.278000 490	334 1.221000 490	327 1.273000 490	3679 1.238000 490	4690 1.309000 490	4196 1.298000 490
140 1.228000 500	292 1.266000 500	392 1.293000 500	4089 1.210000 500	4793 1.335000 500	4486 1.303000 500
149 1.308000 510	354 1.292000 510	224 1.281000 510	4639 1.269000 510	4932 1.329000 510	4763 1.323000 510
167 1.279000 520	455 1.302000 520	326 1.276000 520	4513 1.249000 520	4870 1.346000 520	4851 1.337000 520
162 1.257000 530	426 1.269000 530	295 1.276000 530	4297 1.268000 530	4911 1.336000 530	5193 1.315000 530
209 1.319000 540	170 1.270000 540	584 1.293000 540	4764 1.226000 540	4885 1.331000 540	5129 1.356000 540
201 1.322000 550	552 1.317000 550	176 1.292000 550	4918 1.230000 550	4843 1.342000 550	5141 1.329000 550
142 1.275000 560	417 1.353000 560	707 1.310000 560	5053 1.228000 560	4764 1.468000 560	5399 1.346000 560
184 1.325000 570	244 1.305000 570	318 1.296000 570	5036 1.257000 570	4990 1.333000 570	5267 1.297000 570
169 1.276000 580	819 1.350000 580	380 1.263000 580	5184 1.250000 580	4991 1.323000 580	5379 1.332000 580
326 1.292000 590	263 1.363000 590	249 1.277000 590	5355 1.276000 590	5126 1.301000 590	5187 1.336000 590
161 1.264000 600	700 1.316000 600	341 1.303000 600	4922 1.280000 600	5305 1.321000 600	5242 1.311000 600
296 1.317000 610	414 1.346000 610	851 1.369000 610	5425 1.263000 610	5239 1.314000 610	5185 1.323000 610
264 1.338000 620	688 1.298000 620	823 1.327000 620	5537 1.259000 620	4032 1.282000 620	4994 1.307000 620
245 1.302000 630	726 1.402000 630	210 1.266000 630	5167 1.252000 630	4028 1.293000 630	4994 1.344000 630
149 1.250000 640	511 1.283000 640	683 1.279000 640	5089 1.273000 640	3883 1.278000 640	4987 1.313000 640
411 1.276000 650	662 1.339000 650	861 1.346000 650	5416 1.253000 650	3958 1.307000 650	4153 1.292000 650
266 1.281000 660	432 1.312000 660	539 1.327000 660	5124 1.265000 660	3700 1.314000 660	3917 1.307000 660
287 1.301000 670	881 1.319000 670	634 1.314000 670	4800 1.269000 670	3933 1.321000 670	4159 1.265000 670
287 1.273000 680	723 1.399000 680	365 1.348000 680	4698 1.249000 680	3893 1.325000 680	4168 1.269000 680
408 1.273000 690	464 1.298000 690	1198 1.367000 690	5012 1.236000 690	4761 1.269000 690	4387 1.257000 690
149 1.229000 700	993 1.342000 700	732 1.346000 700	4884 1.219000 700	4499 1.299000 700	4237 1.377000 700
453 1.288000 710	1067 1.356000 710	713 1.347000 710	3916 1.268000 710	4815 1.273000 710	4128 1.280000 710
309 1.264000 720	924 1.339000 720	721 1.351000 720	3980 1.253000 720	4826 1.271000 720	4228 1.314000 720
583 1.245000 730	934 1.338000 730	942 1.309000 730	4229 1.261000 730	5058 1.254000 730	4346 1.327000 730
310 1.300000 740	889 1.331000 740	964 1.360000 740	4714 1.261000 740	5147 1.243000 740	4367 1.327000 740
188 1.314000 750	1131 1.341000 750	1355 1.363000 750	4776 1.264000 750	5361 1.252000 750	4806 1.338000 750
687 1.306000 760	1089 1.373000 760	1110 1.334000 760	4548 1.251000 760	5140 1.269000 760	5248 1.305000 760
