1303 1.201000 1120	1153 1.159000 1120	2175 1.310000 1120
171 1.191000 1130	1103 1.180000 1130	2144 1.295000 1130
275 1.174000 1140	1573 1.155000 1140	2121 1.352000 1140
261 1.161000 1150	1225 1.189000 1150	1850 1.286000 1150
200 1.203000 1160	1144 1.161000 1160	2100 1.325000 1160
293 1.226000 1170	1389 1.169000 1170	1993 1.448000 1170
301 1.167000 1180	1381 1.169000 1180	1779 1.310000 1180
341 1.226000 1190	1318 1.171000 1190	2059 1.385000 1190
177 1.276000 1200	1538 1.168000 1200	2232 1.324000 1200
285 1.219000 1210	1528 1.168000 1210	1812 1.309000 1210
341 1.164000 1220	1403 1.171000 1220	1878 1.338000 1220
225 1.184000 1230	1368 1.164000 1230	1834 1.388000 1230
274 1.156000 1240	1389 1.180000 1240	982 1.277000 1240
269 1.192000 1250	1639 1.170000 1250	560 1.212000 1250
233 1.188000 1260	1538 1.153000 1260	470 1.265000 1260
337 1.188000 1270	1379 1.167000 1270	441 1.196000 1270
319 1.211000 1280	1426 1.149000 1280	392 1.413000 1280
279 1.172000 1290	1757 1.204000 1290	319 1.184000 1290
211 1.253000 1300	1535 1.614000 1300	285 1.245000 1300
452 1.227000 1310	1514 1.352000 1310	307 1.265000 1310
495 1.197000 1320	1529 1.345000 1320	349 1.234000 1320
231 1.118000 1330	1429 1.210000 1330	329 1.287000 1330
221 1.188000 1340	1280 1.290000 1340	313 1.225000 1340
313 1.197000 1350	1668 1.212000 1350	297 1.213000 1350
571 1.191000 1360	1796 1.201000 1360	315 1.250000 1360
239 1.212000 1370	1478 1.213000 1370	287 1.316000 1370
523 1.217000 1380	1572 1.189000 1380	325 1.186000 1380
345 1.257000 1390	1293 1.179000 1390	262 1.154000 1390
727 1.324000 1400	1522 1.193000 1400	672 1.250000 1400
360 1.178000 1410	1530 1.171000 1410	356 1.230000 1410
468 1.186000 1420	1661 1.194000 1420	244 1.302000 1420
335 1.160000 1430	1579 1.221000 1430	634 1.276000 1430
316 1.170000 1440	1487 1.196000 1440	402 1.246000 1440
760 1.176000 1450	1222 1.223000 1450	382 1.276000 1450
365 1.183000 1460	1676 1.190000 1460	582 1.317000 1460
644 1.231000 1470	1449 1.164000 1470	375 1.322000 1470
623 1.188000 1480	1341 1.186000 1480	350 1.255000 1480
279 1.186000 1490	1618 1.242000 1490	551 1.308000 1490
777 1.214000 1500	1559 1.211000 1500	389 1.299000 1500
579 1.201000 1510	1319 1.315000 1510	610 1.324000 1510
601 1.159000 1520	1249 1.207000 1520	597 1.310000 1520
597 1.173000 1530	1516 1.295000 1530	489 1.349000 1530
736 1.174000 1540	1441 1.194000 1540	475 1.363000 1540
429 1.198000 1550	1430 1.241000 1550	419 1.338000 1550
439 1.188000 1560	1510 1.180000 1560	584 1.277000 1560
1013 1.226000 1570	1261 1.176000 1570	554 1.275000 1570
654 1.190000 1580	615 1.187000 1580	345 1.290000 1580
614 1.183000 1590	583 1.388000 1590	972 1.359000 1590
521 1.463000 1600	434 1.221000 1600	348 1.314000 1600
1056 1.188000 1610	521 1.227000 1610	706 1.250000 1610
436 1.185000 1620	288 1.207000 1620	703 1.253000 1620
497 1.215000 1630	369 1.231000 1630	684 1.294000 1630
1599 1.169000 1640	340 1.258000 1640	387 1.236000 1640
550 1.170000 1650	350 1.226000 1650	894 1.318000 1650
976 1.292000 1660	380 1.203000 1660	661 1.376000 1660
681 1.223000 1670	275 1.223000 1670	790 1.317000 1670
984 1.223000 1680	324 1.198000 1680	721 1.333000 1680
519 1.171000 1690	356 1.181000 1690	932 1.327000 1690
1452 1.199000 1700	335 1.245000 1700	705 1.434000 1700
1107 1.192000 1710	464 1.197000 1710	841 1.333000 1710
541 1.231000 1720	321 1.240000 1720	826 1.309000 1720
1446 1.205000 1730	308 1.259000 1730	850 1.325000 1730
1331 1.200000 1740	536 1.185000 1740	1102 1.555000 1740
749 1.155000 1750	335 1.209000 1750	763 1.380000 1750
697 1.198000 1760	483 1.193000 1760	624 1.328000 1760
2182 1.194000 1770	480 1.229000 1770	1193 1.293000 1770
1369 1.196000 1780	426 1.226000 1780	754 1.300000 1780
1324 1.174000 1790	408 1.207000 1790	1310 1.392000 1790
1129 1.232000 1800	605 1.247000 1800	860 1.354000 1800
