4925 1.192000 550	5279 1.276000 550	5236 1.327000 550	257 1.139000 550	144 1.156000 550	587 1.356000 550
5085 1.192000 560	4749 1.281000 560	4938 1.320000 560	650 1.171000 560	199 1.200000 560	270 1.305000 560
5062 1.197000 570	4143 1.293000 570	5010 1.336000 570	382 1.204000 570	202 1.222000 570	427 1.313000 570
4722 1.216000 580	4216 1.287000 580	4869 1.351000 580	602 1.210000 580	159 1.181000 580	406 1.345000 580
4599 1.193000 590	4148 1.286000 590	4977 1.370000 590	424 1.171000 590	232 1.223000 590	332 1.329000 590
4784 1.227000 600	4057 1.272000 600	4244 1.288000 600	672 1.161000 600	178 1.166000 600	539 1.320000 600
4577 1.202000 610	4070 1.294000 610	4472 1.277000 610	254 1.203000 610	181 1.252000 610	245 1.298000 610
4226 1.176000 620	4361 1.268000 620	4178 1.266000 620	779 1.157000 620	163 1.155000 620	409 1.328000 620
4191 1.206000 630	4295 1.264000 630	4042 1.254000 630	324 1.186000 630	280 1.205000 630	761 1.344000 630
4202 1.211000 640	4159 1.273000 640	4266 1.273000 640	874 1.179000 640	208 1.179000 640	472 1.350000 640
4480 1.233000 650	4432 1.275000 650	3773 1.312000 650	997 1.185000 650	301 1.183000 650	618 1.310000 650
4762 1.237000 660	4274 1.270000 660	3996 1.267000 660	850 1.189000 660	257 1.189000 660	500 1.351000 660
4819 1.189000 670	4600 1.264000 670	4356 1.308000 670	694 1.231000 670	153 1.188000 670	501 1.293000 670
5259 1.192000 680	4730 1.283000 680	4397 1.232000 680	533 1.180000 680	407 1.166000 680	762 1.346000 680
5079 1.193000 690	4990 1.274000 690	4571 1.318000 690	937 1.190000 690	227 1.238000 690	725 1.391000 690
5391 1.248000 700	4810 1.292000 700	4982 1.273000 700	757 1.210000 700	187 1.251000 700	630 1.310000 700
5488 1.226000 710	5334 1.294000 710	4672 1.241000 710	665 1.174000 710	188 1.232000 710	774 1.345000 710
5679 1.216000 720	5064 1.289000 720	5016 1.261000 720	1573 1.202000 720	602 1.215000 720	411 1.369000 720
5465 1.226000 730	5171 1.274000 730	4860 1.267000 730	577 1.162000 730	178 1.193000 730	650 1.353000 730
5412 1.200000 740	5410 1.274000 740	5065 1.237000 740	1169 1.165000 740	315 1.214000 740	1142 1.320000 740
5116 1.236000 750	5338 1.281000 750	5160 1.252000 750	1356 1.163000 750	459 1.212000 750	853 1.383000 750
5428 1.219000 760	5240 1.271000 760	5431 1.264000 760	841 1.174000 760	406 1.215000 760	456 1.333000 760
4915 1.226000 770	5603 1.261000 770	5383 1.256000 770	1525 1.165000 770	385 1.191000 770	1388 1.354000 770
4893 1.188000 780	5463 1.284000 780	5055 1.319000 780	1672 1.150000 780	219 1.154000 780	966 1.383000 780
5211 1.215000 790	4947 1.281000 790	5362 1.324000 790	685 1.172000 790	517 1.190000 790	1312 1.339000 790
4925 1.203000 800	4517 1.283000 800	4823 1.301000 800	1871 1.156000 800	504 1.179000 800	623 1.338000 800
4664 1.184000 810	4329 1.281000 810	5019 1.298000 810	2205 1.161000 810	238 1.198000 810	1612 1.336000 810
4858 1.175000 820	4366 1.261000 820	4915 1.334000 820	1312 1.153000 820	724 1.174000 820	1201 1.381000 820
4900 1.178000 830	4248 1.268000 830	4853 1.318000 830	1631 1.169000 830	500 1.151000 830	1298 1.367000 830
4172 1.184000 840	4237 1.255000 840	4368 1.323000 840	1808 1.167000 840	521 1.189000 840	743 1.294000 840
4396 1.183000 850	4302 1.263000 850	4298 1.296000 850	1899 1.177000 850	546 1.208000 850	1098 1.356000 850
4217 1.239000 860	4368 1.277000 860	4055 1.308000 860	1283 1.147000 860	630 1.170000 860	1645 1.358000 860
4470 1.189000 870	4488 1.281000 870	4030 1.362000 870	1893 1.150000 870	298 1.152000 870	1249 1.315000 870
4893 1.182000 880	4278 1.276000 880	3788 1.306000 880	2407 1.156000 880	400 1.154000 880	1664 1.271000 880
4851 1.207000 890	4782 1.239000 890	4216 1.334000 890	2374 1.154000 890	1047 1.185000 890	1224 1.278000 890
5070 1.200000 900	4291 1.273000 900	3918 1.304000 900	2239 1.144000 900	267 1.207000 900	1735 1.308000 900
5300 1.190000 910	4761 1.278000 910	4359 1.295000 910	1728 1.152000 910	1046 1.171000 910	1706 1.300000 910
5519 1.193000 920	4842 1.273000 920	4318 1.285000 920	2523 1.156000 920	338 1.167000 920	1620 1.260000 920
5410 1.209000 930	4947 1.270000 930	4450 1.270000 930	2528 1.150000 930	619 1.185000 930	1635 1.277000 930
5454 1.203000 940	5065 1.271000 940	4929 1.270000 940	2340 1.156000 940	1255 1.157000 940	1760 1.277000 940
5397 1.215000 950	5198 1.282000 950	4711 1.285000 950	2577 1.151000 950	633 1.193000 950	1837 1.291000 950
5514 1.217000 960	4992 1.269000 960	4703 1.307000 960	2454 1.239000 960	803 1.172000 960	1807 1.289000 960
5237 1.232000 970	5379 1.275000 970	5093 1.296000 970	2184 1.278000 970	956 1.176000 970	1943 1.290000 970
5391 1.204000 980	5203 1.275000 980	4954 1.306000 980	2526 1.255000 980	733 1.155000 980	2265 1.277000 980
5096 1.213000 990	5594 1.270000 990	5041 1.292000 990	2230 1.462000 990	737 1.174000 990	1498 1.263000 990
5214 1.200000 1000	5426 1.282000 1000	4851 1.332000 1000	2426 1.242000 1000	1299 1.152000 1000	1862 1.277000 1000
5008 1.185000 1010	5448 1.279000 1010	5558 1.309000 1010	2427 1.241000 1010	622 1.168000 1010	1856 1.277000 1010
5009 1.166000 1020	5104 1.268000 1020	5327 1.279000 1020	2506 1.335000 1020	1145 1.179000 1020	1976 1.295000 1020
4582 1.216000 1030	4802 1.274000 1030	5159 1.311000 1030	2285 1.208000 1030	1178 1.162000 1030	2367 1.305000 1030
4669 1.230000 1040	4496 1.291000 1040	5127 1.297000 1040	2880 1.208000 1040	955 1.167000 1040	2197 1.383000 1040
4529 1.206000 1050	4326 1.280000 1050	4938 1.273000 1050	2171 1.261000 1050	1090 1.203000 1050	1724 1.295000 1050
